Title,Description,Location,Price
Made in Nigeria Battery Cage for Layers,"We sell the best made in Nigeria battery cages, for more enquiry contact us.","Delta, Warri",250000
Hammer Mill Pulverizer,Saint Mary's Yam Store deals on everything tuber crops nationwide and possibly ready to go round...,"Oyo, Ibadan",500000
Solar Egg Incubator 56 Eggs Capacity,These incubators uses both AC and DC circuits.,"Oyo, Ibadan",130000
Indian Lister,"Faily used multipurpose Indian Lister engine 
Diesel engine 8hp","Lagos, Ojo",560000
Drip Tape 2000meters,This drip tape is use in irrigation system to pass water to the crops on the field in farming,"Lagos, Lagos Island (Eko)",120000
Pig Nipple Drinkers,For safe drinking water to farm animals,"Ogun, Obafemi-Owode",5500
Back Sprayer 16 LTR,"16 LTR back sprayer for fumigation House, farmers etc","Lagos, Lagos Island (Eko)",12000
Oluji Pure Cocoa Powder 250g,Pure Cocoa powder starting your morning with oluji pure cocoa powder gives you the energy for the...,"Lagos, Lagos Island (Eko)",5000
Pellet Machine,Animal feed pelletizer,"Ogun, Obafemi-Owode",850000
Herbicide Chemical,"Herbicide chemicals 
Used to manipulate or control undesirable vegetation","Lagos, Lagos Island (Eko)",8000
Animal Pellet Dies,Pellet dies for animal feed pellet machine,"Ogun, Obafemi-Owode",60000
Pelleting Mill,Industrial Pelleting mill for making fish feed's and also for making chicken feed's as well.,"Lagos, Ojo",500000
Power Tiller Machine 7hp,Power tiller 7Hp for Farm soil tilling. It does a fantastic job. makes it very easy... Osit Japanese...,"Lagos, Ojo",500000
Prime Fresh Sunflower Oil 5litres ×4,"Prime Fresh sunflower Oil 5litre very good for cooking, baking , frying,are naturally cholesterol...","Lagos, Lagos Island (Eko)",75000
KTC Blended Olive Oil and Sunflower Oil 5litres ×4,"KTC Blender Olive Oil and Sunflower Oil good for cooking, frying and baking.
Cholesterol free","Lagos, Lagos Island (Eko)",93000
50kg Flower Sack,This flower sack is used for bagging and repacking of goods and crops and waist items,"Lagos, Lagos Island (Eko)",300
Chaff Grass Chopper,Chaff Chopper or Grass shredder is available powered by electric motor or petrol engin 6.5kva Its a...,"Lagos, Ojo",500000
Hammer Mill Grinder,"Hammer Mill stainless steel pulveriser. It is used for grinding dry grains, herbs etc into fine...","Lagos, Ojo",950000
