Title,Description,Location,Price
Made in Nigeria Battery Cage for Layers,5 litres pure original honey straight from the bee farm 5litres unadulterated honey this one is...,"Delta, Warri",33500
Saint Mary's Yam Store,"It is golden and rich in nutrients, often used as food and medicine.it is golden yellow to dark...","Ogun, Sagamu",450000
5in1 Rice Milling Machine With Diesel Engine,This uv nylon is purposely for greenhouse cover protection against high radiation and rainfall,"Ogun, Obafemi-Owode",120000
Mini Power Weeder 2 Stroke,"Farm water gun, also known as a rain gun sprinkler, is a device that sprays water on crops and soil...","Oyo, Ibadan",120000
Knapsack Sprayer(16l),Crown popcorn premium Quality popcorn is a foreign corn kernel which expand and puffs up when...,"Lagos, Lagos Island (Eko)",58000
Py 50 Rain Gun,"16hp Petrol Floating Extruder machine for making animal feed like fish,dog, piggies","Lagos, Lagos Island (Eko)",2100000
Rice Stick Vermicelli 30 Packs X 400g,Earth auger machine original,"Oyo, Ibadan",23000
Aeroplane La-Taste Indian Basmati Rice – 5kg,William Jones is a nice whisky,"Lagos, Lagos Island (Eko)",6500
Pellet Machine,"We sell the best made in Nigeria battery cages, for more enquiry contact us.","Ogun, Obafemi-Owode",250000
Drip Tape 2000meters,A powerful and highly recommended cultivator used for large farm and also small farm . It carries...,"Lagos, Lagos Island (Eko)",3990000
3in1 Knapsack Solar Sprayer,Cashew nut are rich in nutrients snd has a milky taste,"Abuja, Central Business District",74000
Cap Rice Long Grain 25kg,This cover is use to protect farm against high radiation of sunlight and rainfall,"Lagos, Lagos Island (Eko)",100000
Stute Cranberry Juice 6x1.5l,This shade net is 85% shade is use greenhouses for covering and protection against high radiation...,"Ogun, Obafemi-Owode",55000
"Dry Asa Fish,","Elevate your meals with the rich, creamy goodness of Heinz Salad Cream! Made with the finest...","Lagos, Lagos Island (Eko)",45000
"Battery Type Ppr Machine, Makita Brand","The anti-insect net is used to prevent the entrance of insects, flies and beetles into the...","Oyo, Ibadan",20000
Wet and Dry Grinder Machine,Wow nice to let you know that there's another form of ridger used in power tiller for proper making...,"Lagos, Ojo",4370000
5 Litres Undiluted Orginal Wild Honey Straight From Bee Farm,Industrial pelletizer machine 150kg with petrol engine GX 390,"Lagos, Surulere",750000
Oluji Pure Cocoa Powder 250g,"25l 4 stroke motorized knapsack sprayer used for spraying fumigation and herbicides in the farm,...","Lagos, Ikeja",190000
Shade Net for Green House 4m*50m,Twine rope or polyworks for crops and plants 80 parks,"Lagos, Lagos Island (Eko)",14000
Irrigation Tube 100meters,Pringles Potato Chips 12x40g are the perfect snack for any time of the day! Each can is full of...,"Lagos, Lagos Island (Eko)",17000
King's Pure Vegetable Oil 4×5litres,"Material: plastic, Capacity:16litre,  Handle: back pack. An efficient way to handle those bigger...","Lagos, Lagos Island (Eko)",21000
Amarula Cream,"Whether you're powering through work, serving customers in your store, or just starting your day...","Oyo, Ibadan",128000
Pistachio Nuts(250g),Campari is a nice bitters drink,"Lagos, Ojo",16000
Seed Planter Corn,Golden Penny Semovita available in 10KG 5KG or 2kg or 1KG,"Lagos, Ojo",3700
Back Sprayer 16 LTR,Lobster Comes in 3 piece per Kilo,"Lagos, Ojo",120000
150kg Pelletizer Machine,Healthy birds happuy family,"Sokoto, Sokoto South",6000
